epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,405.84,1.61811,2.32612,1.46542,0.50674,0.42667,0.48325,0.29356,1.18149,1.59358,1.17926,0.000465256,0.000465256,0.000465256
2,843.056,1.27026,1.08351,1.1399,0.80156,0.46565,0.51111,0.30597,1.2599,1.63451,1.25467,0.000922946,0.000922946,0.000922946
3,1183.79,1.22044,0.99766,1.12167,0.49435,0.53208,0.51355,0.31378,1.17546,1.39785,1.3066,0.00136177,0.00136177,0.00136177
4,1444.14,1.22825,0.86398,1.11387,0.461,0.53876,0.52872,0.29742,1.36403,1.41108,1.41374,0.00134412,0.00134412,0.00134412
5,1755.4,1.20026,0.80788,1.10259,0.7679,0.54634,0.65121,0.40643,1.19413,0.83539,1.24696,0.00131582,0.00131582,0.00131582
6,2124.53,1.18261,0.78597,1.09846,0.54871,0.65596,0.61974,0.39099,1.15662,0.85789,1.19782,0.00128753,0.00128753,0.00128753
7,2515.24,1.17789,0.76894,1.09295,0.55061,0.68501,0.63075,0.41614,1.11574,0.73948,1.22069,0.00125923,0.00125923,0.00125923
8,2819.83,1.14119,0.74623,1.07121,0.57199,0.73405,0.68795,0.42349,1.12545,0.73845,1.14943,0.00123094,0.00123094,0.00123094
9,3146.28,1.12282,0.70828,1.06504,0.61246,0.73552,0.76203,0.49004,1.1152,0.7371,1.16445,0.00120265,0.00120265,0.00120265
10,3539.64,1.11854,0.69473,1.05643,0.73923,0.63061,0.71767,0.47329,1.08209,0.67642,1.15687,0.00117435,0.00117435,0.00117435
11,4059.96,1.11719,0.6941,1.06439,0.62299,0.67163,0.66754,0.43297,1.10849,0.67949,1.14433,0.00114606,0.00114606,0.00114606
12,4532.55,1.09166,0.64873,1.04075,0.5973,0.65566,0.62915,0.40366,1.16687,0.77544,1.22343,0.00111776,0.00111776,0.00111776
13,4879.04,1.09277,0.65617,1.0454,0.75107,0.6548,0.74508,0.47227,1.13283,0.66989,1.20859,0.00108947,0.00108947,0.00108947
14,5147.03,1.08494,0.63835,1.04178,0.58639,0.72663,0.66689,0.42683,1.05928,0.67986,1.10365,0.00106118,0.00106118,0.00106118
