epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.0144,1.66579,2.73583,1.41482,0.01561,0.59555,0.24451,0.15393,1.20017,2.91208,1.02714,0.000465256,0.000465256,0.000465256
2,41.8608,1.3263,1.46193,1.09481,0.49402,0.39257,0.41777,0.27162,1.1719,1.79283,1.06293,0.000922946,0.000922946,0.000922946
3,60.2226,1.25142,1.28623,1.07916,0.42249,0.42759,0.45515,0.29523,1.13408,1.37305,1.05098,0.00136177,0.00136177,0.00136177
4,74.8059,1.25161,1.15452,1.07165,0.50551,0.57313,0.5617,0.34796,1.13469,1.09202,1.04954,0.00134412,0.00134412,0.00134412
5,91.4081,1.20849,1.05693,1.05164,0.88472,0.48555,0.58385,0.35441,1.09067,0.91113,1.03089,0.00131582,0.00131582,0.00131582
6,107.056,1.19248,0.98846,1.0551,0.55003,0.53947,0.55587,0.35285,1.17772,0.91615,1.08722,0.00128753,0.00128753,0.00128753
7,122.781,1.19558,0.92168,1.05008,0.57488,0.49125,0.56003,0.34642,1.08403,0.89194,1.01923,0.00125923,0.00125923,0.00125923
8,141.081,1.14527,0.87707,1.02748,0.59154,0.59671,0.61426,0.39367,1.06689,0.78163,1.01151,0.00123094,0.00123094,0.00123094
9,156.208,1.12775,0.82289,1.02274,0.90891,0.48064,0.5697,0.35658,1.0909,0.86364,1.0318,0.00120265,0.00120265,0.00120265
10,171.696,1.12159,0.79374,1.01824,0.74227,0.517,0.63096,0.4226,1.05502,0.75212,1.02178,0.00117435,0.00117435,0.00117435
11,187.977,1.11236,0.7979,1.01988,0.89301,0.5385,0.64647,0.40693,1.07361,0.71073,1.03631,0.00114606,0.00114606,0.00114606
12,204.386,1.09255,0.74928,1.00698,0.55185,0.53923,0.58704,0.38002,1.05584,0.74857,1.02279,0.00111776,0.00111776,0.00111776
13,219.373,1.09389,0.73988,1.00506,0.62655,0.62337,0.6472,0.43526,1.04164,0.70902,1.01374,0.00108947,0.00108947,0.00108947
14,236.213,1.08267,0.7094,1.00081,0.83383,0.6126,0.71144,0.48068,1.02498,0.66137,0.999,0.00106118,0.00106118,0.00106118
15,252.291,1.07389,0.68874,1.00459,0.76112,0.58762,0.68704,0.46221,1.01939,0.61108,0.99567,0.00103288,0.00103288,0.00103288
16,267.817,1.06045,0.67085,0.99755,0.78937,0.61394,0.68698,0.47129,1.00178,0.63029,0.99878,0.00100459,0.00100459,0.00100459
17,285.357,1.04247,0.65444,0.99248,0.70689,0.6197,0.63971,0.42737,1.02952,0.63315,1.01638,0.000976293,0.000976293,0.000976293
18,300.892,1.05612,0.6519,0.99307,0.77479,0.60598,0.71069,0.48284,1.00817,0.61886,0.99121,0.000947999,0.000947999,0.000947999
19,334.579,1.05792,0.64851,0.98612,0.9331,0.63046,0.6992,0.47921,0.97611,0.58885,0.97567,0.000919704,0.000919704,0.000919704
