epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,357.938,1.61321,2.25846,1.45535,0.47878,0.47321,0.51602,0.30988,1.2141,1.27617,1.16477,0.000465256,0.000465256,0.000465256
2,688.329,1.22859,1.00325,1.10992,0.88241,0.46713,0.52772,0.31247,1.29671,1.38091,1.31,0.000922946,0.000922946,0.000922946
3,973.76,1.22164,0.91608,1.11887,0.44259,0.50375,0.49588,0.29512,1.22341,1.32647,1.2898,0.00136177,0.00136177,0.00136177
4,1221.39,1.19119,0.83127,1.09338,0.54265,0.50268,0.56804,0.34089,1.24602,1.07025,1.2796,0.00134412,0.00134412,0.00134412
5,1488.57,1.16853,0.78687,1.0873,0.58923,0.59351,0.57315,0.33285,1.33711,1.27893,1.33307,0.00131582,0.00131582,0.00131582
6,1661.67,1.16197,0.73778,1.09569,0.72686,0.67014,0.66722,0.41451,1.13522,0.85965,1.17627,0.00128753,0.00128753,0.00128753
7,1902.11,1.15009,0.73351,1.07442,0.6228,0.54472,0.63202,0.40312,1.12906,0.77915,1.12392,0.00125923,0.00125923,0.00125923
8,2112.38,1.1196,0.68765,1.0568,0.59305,0.77816,0.65466,0.41641,1.07804,0.70251,1.10137,0.00123094,0.00123094,0.00123094
9,2319.46,1.08817,0.67058,1.04866,0.67331,0.56645,0.64875,0.42974,1.07215,0.66604,1.12985,0.00120265,0.00120265,0.00120265
10,2485.75,1.08865,0.66188,1.03985,0.64318,0.62716,0.65097,0.4349,1.02554,0.64926,1.11436,0.00117435,0.00117435,0.00117435
11,2694.3,1.08246,0.654,1.05086,0.74815,0.60743,0.72563,0.46797,1.07508,0.66996,1.1428,0.00114606,0.00114606,0.00114606
12,2882.54,1.06204,0.61992,1.03205,0.63325,0.65762,0.6668,0.42706,1.06368,0.71391,1.14454,0.00111776,0.00111776,0.00111776
13,3072.33,1.06796,0.61873,1.03506,0.77643,0.64164,0.69158,0.43717,1.08779,0.73636,1.12532,0.00108947,0.00108947,0.00108947
14,3236.52,1.05885,0.61004,1.03136,0.7762,0.64518,0.73212,0.47051,1.03849,0.62863,1.10922,0.00106118,0.00106118,0.00106118
15,3431.51,1.03322,0.58965,1.02658,0.65052,0.66011,0.65958,0.43527,1.00901,0.61974,1.08751,0.00103288,0.00103288,0.00103288
16,3635.76,1.02346,0.57288,1.01334,0.72523,0.71932,0.74153,0.49875,1.01966,0.59351,1.08556,0.00100459,0.00100459,0.00100459
17,3801.29,1.00863,0.55825,1.00899,0.72763,0.69363,0.71682,0.48477,0.99757,0.59816,1.08577,0.000976293,0.000976293,0.000976293
